order_id,items_purchased,ai_recommendation,result,timestamp
a9eaab9b,"Matcha Zen Cake, Berry Garden Cake, Earthy Wellness Cake","{'top_3_cakes': ['Dark Chocolate Sea Salt Cake', 'Korean Sesame Mini Bread', 'Matcha Zen Cake'], 'top_3_probs': [0.7131322393744147, 0.10243544190718182, 0.0898005129729763], 'probabilities': array([0.01144462, 0.06071681, 0.01258268, 0.71313224, 0.0098877 ,
       0.10243544, 0.08980051, 0.        ]), 'mood': 'Stressed', 'weather_condition': 'Partly Cloudy'}",Not Quite,2026-03-20T23:40:03.573724
5d4b7e61-8d7f-4de2-9ffd-0e06d3dfb418,Berry Garden Cake,"{""top_3_cakes"": [""Café Tiramisu"", ""Matcha Zen Cake"", ""Korean Sesame Mini Bread""], ""top_3_probs"": [0.3626228611793094, 0.33736674036025355, 0.32554538541092054], ""probabilities"": [0.0, 0.33736674036025355, 0.0, 0.0, 0.0, 0.0, 0.3626228611793094, 0.32554538541092054], ""mood"": ""Celebratory"", ""weather_condition"": ""Partly Cloudy"", ""time_of_day"": ""Night"", ""model_version"": ""3-Layer Hybrid (Segmentation→Classification→Ranking)"", ""prediction_source"": ""🤖 Hybrid 3-Layer (Segmentation→Classification→Ranking)"", ""engine_type"": ""hybrid"", ""latency_ms"": 27, ""confidence_score"": 0.3626228611793094, ""cluster_id"": 4, ""ml_features"": {""cluster"": 4, ""mood"": ""Celebratory"", ""weather"": ""Partly Cloudy"", ""sweetness"": 2, ""health"": 10}}",Not Quite,2026-03-28T15:02:06.932436
e6a77b13-c5ac-4e71-9a8d-73ea6e1bde8c,Dark Chocolate Sea Salt Cake,"{""top_3_cakes"": [""Dark Chocolate Sea Salt Cake"", ""Café Tiramisu"", ""Korean Sesame Mini Bread""], ""top_3_probs"": [0.5531816147618451, 0.40026706687085745, 0.33142720733574094], ""probabilities"": [0.5531816147618451, 0.0, 0.0, 0.0, 0.0, 0.0, 0.40026706687085745, 0.33142720733574094], ""mood"": ""Happy"", ""weather_condition"": ""Partly Cloudy"", ""time_of_day"": ""Evening"", ""model_version"": ""3-Layer Hybrid (Segmentation→Classification→Ranking)"", ""prediction_source"": ""🤖 Hybrid 3-Layer (Segmentation→Classification→Ranking)"", ""engine_type"": ""hybrid"", ""latency_ms"": 69, ""confidence_score"": 0.5531816147618451, ""cluster_id"": 0, ""ml_features"": {""cluster"": 0, ""mood"": ""Happy"", ""weather"": ""Partly Cloudy"", ""sweetness"": 5, ""health"": 5}}",Match,2026-03-29T10:25:19.663949
2cc28386-e5b5-4ef3-a4f3-153182f1e1de,"Korean Sesame Mini Bread, Berry Garden Cake","{""top_3_cakes"": [""Korean Sesame Mini Bread"", ""Berry Garden Cake"", ""Dark Chocolate Sea Salt Cake""], ""top_3_probs"": [0.39786660127513496, 0.38396109921500027, 0.3667230890223219], ""probabilities"": [0.3667230890223219, 0.0, 0.0, 0.38396109921500027, 0.0, 0.0, 0.0, 0.39786660127513496], ""mood"": ""Happy"", ""weather_condition"": ""Partly Cloudy"", ""time_of_day"": ""Evening"", ""model_version"": ""3-Layer Hybrid (Segmentation→Classification→Ranking)"", ""prediction_source"": ""🤖 Hybrid 3-Layer (Segmentation→Classification→Ranking)"", ""engine_type"": ""hybrid"", ""latency_ms"": 26, ""confidence_score"": 0.39786660127513496, ""cluster_id"": 0, ""ml_features"": {""cluster"": 0, ""mood"": ""Happy"", ""weather"": ""Partly Cloudy"", ""sweetness"": 2, ""health"": 8}}",Match,2026-03-29T10:31:47.125928
97a2ddba-9e60-4860-938b-8a3a58eab867,Citrus Cloud Cake,"{""top_3_cakes"": [""Dark Chocolate Sea Salt Cake"", ""Berry Garden Cake"", ""Citrus Cloud Cake""], ""top_3_probs"": [0.5533377676099662, 0.31452866350389885, 0.3087648956894089], ""probabilities"": [0.5533377676099662, 0.0, 0.3087648956894089, 0.31452866350389885, 0.0, 0.0, 0.0, 0.0], ""mood"": ""Stressed"", ""weather_condition"": ""Partly Cloudy"", ""time_of_day"": ""Evening"", ""model_version"": ""3-Layer Hybrid (Segmentation→Classification→Ranking)"", ""prediction_source"": ""🤖 Hybrid 3-Layer (Segmentation→Classification→Ranking)"", ""engine_type"": ""hybrid"", ""latency_ms"": 27, ""confidence_score"": 0.5533377676099662, ""cluster_id"": 1, ""ml_features"": {""cluster"": 1, ""mood"": ""Stressed"", ""weather"": ""Partly Cloudy"", ""sweetness"": 3, ""health"": 9}}",Not Quite,2026-03-29T10:49:04.336800
f0096af4-e816-4e78-aebd-d2c4ffb6ec8c,"Berry Garden Cake, Dark Chocolate Sea Salt Cake","{""top_3_cakes"": [""Dark Chocolate Sea Salt Cake"", ""Berry Garden Cake"", ""Matcha Zen Cake""], ""top_3_probs"": [0.43280500992627674, 0.40025796618983334, 0.3437843150314213], ""probabilities"": [0.43280500992627674, 0.3437843150314213, 0.0, 0.40025796618983334, 0.0, 0.0, 0.0, 0.0], ""mood"": ""Happy"", ""weather_condition"": ""Partly Cloudy"", ""time_of_day"": ""Evening"", ""model_version"": ""3-Layer Hybrid (Segmentation→Classification→Ranking)"", ""prediction_source"": ""🤖 Hybrid 3-Layer (Segmentation→Classification→Ranking)"", ""engine_type"": ""hybrid"", ""latency_ms"": 27, ""confidence_score"": 0.43280500992627674, ""cluster_id"": 0, ""ml_features"": {""cluster"": 0, ""mood"": ""Happy"", ""weather"": ""Partly Cloudy"", ""sweetness"": 3, ""health"": 8}}",Match,2026-03-29T10:49:26.659984
4bffec78-e815-465d-be59-8592d64f089b,Café Tiramisu,"{""top_3_cakes"": [""Dark Chocolate Sea Salt Cake"", ""Café Tiramisu"", ""Berry Garden Cake""], ""top_3_probs"": [0.5481767810635022, 0.346663441276295, 0.34363168658379467], ""probabilities"": [0.5481767810635022, 0.0, 0.0, 0.34363168658379467, 0.0, 0.0, 0.346663441276295, 0.0], ""mood"": ""Lonely"", ""weather_condition"": ""Partly Cloudy"", ""time_of_day"": ""Evening"", ""model_version"": ""3-Layer Hybrid (Segmentation→Classification→Ranking)"", ""prediction_source"": ""🤖 Hybrid 3-Layer (Segmentation→Classification→Ranking)"", ""engine_type"": ""hybrid"", ""latency_ms"": 168, ""confidence_score"": 0.5481767810635022, ""cluster_id"": 1, ""ml_features"": {""cluster"": 1, ""mood"": ""Lonely"", ""weather"": ""Partly Cloudy"", ""sweetness"": 3, ""health"": 8}}",Not Quite,2026-03-29T10:52:46.771043
79f52416-8e4c-4792-9697-a8b9c3d14575,"Silk Cheesecake, Berry Garden Cake","{""top_3_cakes"": [""Dark Chocolate Sea Salt Cake"", ""Café Tiramisu"", ""Korean Sesame Mini Bread""], ""top_3_probs"": [0.450930076515684, 0.43374006445256236, 0.40892633634916653], ""probabilities"": [0.450930076515684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43374006445256236, 0.40892633634916653], ""mood"": ""Tired"", ""weather_condition"": ""Partly Cloudy"", ""time_of_day"": ""Evening"", ""model_version"": ""3-Layer Hybrid (Segmentation→Classification→Ranking)"", ""prediction_source"": ""🤖 Hybrid 3-Layer (Segmentation→Classification→Ranking)"", ""engine_type"": ""hybrid"", ""latency_ms"": 26, ""confidence_score"": 0.450930076515684, ""cluster_id"": 1, ""ml_features"": {""cluster"": 1, ""mood"": ""Tired"", ""weather"": ""Partly Cloudy"", ""sweetness"": 1, ""health"": 7}}",Not Quite,2026-03-29T10:54:00.807289
cac2682e-dd74-49ff-9761-a854253a14be,Dark Chocolate Sea Salt Cake,"{""top_3_cakes"": [""Dark Chocolate Sea Salt Cake"", ""Café Tiramisu"", ""Korean Sesame Mini Bread""], ""top_3_probs"": [0.5539388457986004, 0.5168504068017172, 0.3186392010178066], ""probabilities"": [0.5539388457986004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5168504068017172, 0.3186392010178066], ""mood"": ""Tired"", ""weather_condition"": ""Partly Cloudy"", ""time_of_day"": ""Evening"", ""model_version"": ""3-Layer Hybrid (Segmentation→Classification→Ranking)"", ""prediction_source"": ""🤖 Hybrid 3-Layer (Segmentation→Classification→Ranking)"", ""engine_type"": ""hybrid"", ""latency_ms"": 190, ""confidence_score"": 0.5539388457986004, ""cluster_id"": 1, ""ml_features"": {""cluster"": 1, ""mood"": ""Tired"", ""weather"": ""Partly Cloudy"", ""sweetness"": 5, ""health"": 5}}",Match,2026-03-29T10:56:20.161977
